Nom_medicament
"A 313 200 000 UI POUR CENT, pommade"
"NAVELBINE 50 mg/5 ml, solution injectable en flacon"
"NAVERUCLIF 5 mg/mL, poudre pour dispersion pour perfusion"
"NAVIDOXINE, comprimé sécable"
"NEBCINE 100 mg, solution injectable"
"NEBCINE 25 mg, solution injectable"
"NEBCINE 75 mg, solution injectable"
"NEBIDO 1000 mg/4 ml, solution injectable"
"NEBILOX 5 mg, comprimé quadrisécable"
"NEBIVOLOL 5 mg, comprimé quadrisécable"
"NEBIVOLOL KRKA 5 mg, comprimé sécable"
"NEBIVOLOL SUN 5 mg, comprimé quadrisécable"
"NEBIVOLOL/HYDROCHLOROTHIAZIDE 5 mg/ 25 mg, comprimé pelliculé"
"NEBIVOLOL/HYDROCHLOROTHIAZIDE 5 mg/12,5 mg, comprimé pelliculé"
"NEBIVOLOL/HYDROCHLOROTHIAZIDE 5 mg/25 mg, comprimé pelliculé"
"NECYRANE, solution pour pulvérisation nasale"
"NEFOPAM 20 mg/2 mL, solution injectable"
"NEFOPAM 20 mg/2 mL, solution injectable/pour perfusion"
"NEFOPAM 20 mg/2 ml, solution injectable"
"NEFOPAM 30 mg, comprimé pelliculé"
"NEFOPAM MEDISOL 20 mg/2 ml, solution injectable"
"NEGABAN 1 g, poudre pour solution injectable/pour perfusion"
"NEGABAN 2 g, poudre pour solution injectable/pour perfusion"
"NEISVAC, suspension injectable en seringue préremplie. Vaccin méningococcique polyosidique du groupe C (conjugué, adsorbé)"
"NEMLUVIO 30 mg, poudre et solvant pour solution injectable en stylo prérempli"
"NEO-CODION ADULTES, sirop"
"NEO-CODION, comprimé enrobé"
"NEO-MERCAZOLE 20 mg, comprimé"
"NEO-MERCAZOLE 5 mg, comprimé"
"NEOFORDEX 40 mg, comprimé"
"NEORAL 10 mg, capsule molle"
"NEORAL 100 mg, capsule molle"
"NEORAL 100 mg/ml, solution buvable"
"NEORAL 25 mg, capsule molle"
"NEORAL 50 mg, capsule molle"
"NEORECORMON 10 000 UI, solution injectable en seringue préremplie"
"NEORECORMON 20 000 UI, solution injectable en seringue préremplie"
"NEORECORMON 2000 UI, solution injectable en seringue préremplie"
"NEORECORMON 30 000 UI, solution injectable en seringue préremplie"
"NEORECORMON 3000 UI, solution injectable en seringue préremplie"
"NEORECORMON 4000 UI, solution injectable en seringue préremplie"
"NEORECORMON 500 UI, solution injectable en seringue préremplie"
"NEORECORMON 5000 UI, solution injectable en seringue préremplie"
"NEORECORMON 6000 UI, solution injectable en seringue préremplie"
"NEOSTIGMINE RENAUDIN 5 mg/5 mL, solution injectable"
"NEOSYNEPHRINE 10 % FAURE, collyre en solution"
"NEOSYNEPHRINE 10 POUR CENT FAURE, collyre en récipient unidose"
"NEOSYNEPHRINE 2,5 % FAURE, collyre en solution en récipient unidose"
"NEOSYNEPHRINE 5 % FAURE, collyre en solution"
"NEPEXTO 25 mg, solution injectable en seringue préremplie"
"NEPEXTO 50 mg, solution injectable en seringue préremplie"
"NEPEXTO 50 mg, solution injectable en stylo prérempli"
"NEPRESSOL 25 mg/2 ml, poudre et solvant pour solution injectable"
"NEREDIEM, comprimé"
"NERISONE GRAS, pommade"
"NERISONE, pommade"
"NERVOPAX, comprimé orodispersible"
"NETAXEN 1 mg/3 mg par ml, collyre en solution"
"NETAXEN 1 mg/3 mg par ml, collyre en solution en récipient unidose"
"NETAXEN 1 mg/3 mg par ml, gel ophtalmique"
"NEULASTA 6 mg, solution injectable"
"NEULEPTIL 1 POUR CENT, solution buvable"
"NEULEPTIL 10 mg, gélule"
"NEULEPTIL 25 mg, comprimé pelliculé sécable"
"NEULEPTIL 4 POUR CENT, solution buvable"
"NEUPOGEN 30 MU (0,3 mg/mL), solution injectable"
"NEUPOGEN 30 MU/0,5 mL (0,6 mg/mL), solution injectable en seringue préremplie"
"NEUPOGEN 48 MU/0,5 mL (0,96 mg/mL), solution injectable en seringue préremplie"
"NEUPRO 2 mg/24 h, dispositif transdermique"
"NEUPRO 4 mg/24 h, dispositif transdermique"
"NEUPRO 6 mg/24 h, dispositif transdermique"
"NEUPRO 8 mg/24 h, dispositif transdermique"
"NEURACEQ 300 MBq/mL, solution injectable"
"NEUROBLOC 5000 U/ml, solution injectable"
"NEURODORON, comprimé"
"NEURONTIN 100 mg, gélule"
"NEURONTIN 300 mg, gélule"
"NEURONTIN 400 mg, gélule"
"NEURONTIN 600 mg, comprimé pelliculé"
"NEURONTIN 800 mg, comprimé pelliculé"
"NEUROSTHENOL, solution buvable"
"NEUTRAVERA GLUCOSE 1,5 %, CALCIUM 1,25 mmol/l, solution pour dialyse péritonéale"
"NEUTRAVERA GLUCOSE 2,3 %, CALCIUM 1,25 mmol/l, solution pour dialyse péritonéale"
"NEUTRAVERA GLUCOSE 4,25 %, CALCIUM 1,25 mmol/l, solution pour dialyse péritonéale"
"NEUTRICID, suspension buvable en sachet"
"NEUTROSES, comprimé à croquer"
"NEVIRAPINE 200 mg, comprimé"
"NEVIRAPINE L.P. 400 mg, comprimé à libération prolongée"
"NEVIRAPINE LP 400 mg, comprimé à libération prolongée"
"NEXAVAR 200 mg, comprimé pelliculé"
"NEXIUM CONTROL 20 mg, comprimé gastro-résistant"
"NEXPLANON 68 mg, implant pour usage sous-cutané"
"NEXPOVIO 20 mg, comprimé pelliculé"
"NEXVIADYME 100 mg, poudre pour solution à diluer pour perfusion"
"NGENLA 24 mg, solution injectable en stylo prérempli"
"NGENLA 60 mg, solution injectable en stylo prérempli"
"NICARDIPINE 10 mg/10 ml, solution injectable"
"NICARDIPINE AGUETTANT 10 mg/10 ml, solution injectable"
"NICOBION 500 mg, comprimé pelliculé"
"NICOPASS 1,5 mg SANS SUCRE EUCALYPTUS, pastille édulcorée à l'aspartam et à l'acésulfame potassique"
"NICOPASS 1,5 mg SANS SUCRE MENTHE FRAICHEUR, pastille édulcorée à l'aspartam et à l'acésulfame potassique"
"NICOPASS MENTHE FRAICHEUR 2,5 mg SANS SUCRE, pastille édulcorée à l'aspartam et à l'acésulfame potassique"
"NICOPATCHLIB 14 mg/24 heures, dispositif transdermique"
"NICOPATCHLIB 21 mg/24 heures, dispositif transdermique"
"NICOPATCHLIB 7 mg/24 heures, dispositif transdermique"
"NICORANDIL 10 mg, comprimé sécable"
"NICORANDIL 20 mg, comprimé"
"NICORETTE 2 mg SANS SUCRE, gomme à mâcher médicamenteuse édulcorée au sorbitol"
"NICORETTE 2 mg, comprimé à sucer"
"NICORETTE 4 mg SANS SUCRE, gomme à mâcher médicamenteuse édulcorée au sorbitol"
"NICORETTE FRUITS 2 mg SANS SUCRE, gomme à mâcher médicamenteuse édulcorée au xylitol et à l'acésulfame potassique"
"NICORETTE FRUITS 2 mg, comprimé à sucer"
"NICORETTE FRUITS 4 mg SANS SUCRE, gomme à mâcher médicamenteuse édulcorée au xylitol et à l'acésulfame potassique"
"NICORETTE INHALEUR 10 mg, cartouche pour inhalation buccale"
"NICORETTE MENTHE FRAICHE 2 mg SANS SUCRE, gomme à mâcher médicamenteuse édulcorée au xylitol et à l'acésulfame potassique"
"NICORETTE MENTHE FRAICHE 4 mg SANS SUCRE, gomme à mâcher médicamenteuse édulcorée au xylitol et à l'acésulfame potassique"
"NICORETTE MENTHE GLACIALE 2 mg SANS SUCRE, gomme à mâcher médicamenteuse édulcorée au xylitol et à l'acésulfame potassique"
"NICORETTE MENTHE GLACIALE 4 mg SANS SUCRE, gomme à mâcher médicamenteuse édulcorée au xylitol et à l'acésulfame potassique"
"NICORETTE MICROTAB 2 mg, comprimé sublingual"
"NICORETTESKIN 10 mg/16 heures, dispositif transdermique"
"NICORETTESKIN 15 mg/16 heures, dispositif transdermique"
"NICORETTESKIN 25 mg/16 heures, dispositif transdermique"
"NICORETTESPRAY 1 mg/dose, solution pour pulvérisation buccale"
"NICORETTESPRAY FRUITS ROUGES 1 mg/dose, solution pour pulvérisation buccale"
"NICOSAN, solution injectable"
"NICOTINAMIDE RENAUDIN 100 mg/2 mL, solution injectable"
"NICOTINAMIDE RENAUDIN 500 mg/5 mL, solution injectable"
"NICOTINE 1 mg/dose, solution pour pulvérisation buccale"
"NICOTINE 14 mg/24 h, dispositif transdermique"
"NICOTINE 21 mg/24 h, dispositif transdermique"
"NICOTINE 7 mg/24 h, dispositif transdermique"
"NICOTINE ALKALON FRUIT 2 mg SANS SUCRE, gomme à mâcher médicamenteuse édulcorée à l'acésulfame potassique et à la saccharine"
"NICOTINE ALKALON FRUIT 4 mg SANS SUCRE, gomme à mâcher médicamenteuse édulcorée à l'acésulfame potassique et à la saccharine"
"NICOTINE ALKALON MENTHE 2 mg SANS SUCRE, gomme à mâcher médicamenteuse édulcorée à l'acésulfame potassique et à la saccharine"
"NICOTINE ALKALON MENTHE 4 mg SANS SUCRE, gomme à mâcher médicamenteuse édulcorée à l'acésulfame potassique et à la saccharine"
"NICOTINE EUROGENERICS CITRON 2 mg SANS SUCRE, gomme à mâcher médicamenteuse édulcorée au xylitol, à l'acésulfame potassique, au sucralose et au maltitol"
"NICOTINE EUROGENERICS CITRON 4 mg SANS SUCRE, gomme à mâcher médicamenteuse édulcorée au xylitol, à l'acésulfame potassique, au sucralose et au maltitol"
"NICOTINE EUROGENERICS MENTHE 2 mg SANS SUCRE, gomme à mâcher médicamenteuse édulcorée au xylitol, à l'acésulfame potassique, au sucralose et au maltitol"
"NICOTINE EUROGENERICS MENTHE 4 mg SANS SUCRE, gomme à mâcher médicamenteuse édulcorée au xylitol, à l'acésulfame potassique, au sucralose et au maltitol"
"NICOTINELL 1 mg/dose, solution pour pulvérisation buccale"
"NICOTINELL FRUIT 2 mg SANS SUCRE, gomme à mâcher médicamenteuse"
"NICOTINELL FRUIT EXOTIQUE 2 mg, gomme à mâcher médicamenteuse"
"NICOTINELL MENTHE 1 mg, comprimé à sucer"
"NICOTINELL MENTHE 2 mg, comprimé à sucer"
"NICOTINELL MENTHE FRAICHEUR 2 mg SANS SUCRE, gomme à mâcher médicamenteuse"
"NICOTINELL MENTHE FRAICHEUR 4 mg SANS SUCRE, gomme à mâcher médicamenteuse"
"NICOTINELL TTS 14 mg/24 H, dispositif transdermique"
"NICOTINELL TTS 21 mg/24 h, dispositif transdermique"
"NICOTINELL TTS 7 mg/24 H, dispositif transdermique"
"NIFEDIPINE L.P. 30 mg, comprimé pelliculé à libération prolongée"
"NIFEDIPINE LP 20 mg, comprimé à libération prolongée"
"NIFLUGEL 2,5 %, gel"
"NIFLURIL 250 mg, gélule"
"NIFLURIL ADULTES 700 mg, suppositoire"
"NIFLURIL ENFANTS 400 mg, suppositoire sécable"
"NILEVAR 10 mg, comprimé"
"NILOTINIB 150 mg, gélule"
"NILOTINIB 200 mg, gélule"
"NILOTINIB 50 mg, gélule"
"NIMBEX 2 mg/ml, solution injectable/pour perfusion"
"NIMBEX 5 mg/ml, solution injectable/pour perfusion"
"NIMOTOP 10 mg/50 ml, solution injectable pour perfusion"
"NIMOTOP 30 mg, comprimé pelliculé"
"NINLARO 2,3 mg, gélule"
"NINLARO 3 mg, gélule"
"NINLARO 4 mg, gélule"
"NIPENT 10 mg, poudre pour solution pour injection, poudre pour solution pour perfusion"
"NIQUITIN 14 mg/24 heures, dispositif transdermique"
"NIQUITIN 21 mg/24 heures, dispositif transdermique"
"NIQUITIN 7 mg/24 heures, dispositif transdermique"
"NIQUITIN MENTHE DOUCE 4 mg SANS SUCRE, comprimé à sucer édulcoré à l'aspartam"
"NIQUITIN MENTHE FRAICHE 2 mg, comprimé à sucer édulcoré à l'aspartam"
"NIQUITIN MENTHE FRAICHE 4 mg, comprimé à sucer édulcoré à l'aspartam"
"NIQUITIN MENTHE GLACIALE 2 mg SANS SUCRE, gomme à mâcher médicamenteuse édulcorée au sorbitol et au xylitol"
"NIQUITIN MENTHE GLACIALE 4 mg SANS SUCRE, gomme à mâcher médicamenteuse édulcorée au sorbitol et au xylitol"
"NIQUITINMINIS MENTHE FRAÎCHE 1,5 mg SANS SUCRE, comprimé à sucer édulcoré à l'acésulfame potassique"
"NIQUITINMINIS MENTHE FRAÎCHE 4 mg SANS SUCRE, comprimé à sucer édulcoré à l'acésulfame potassique"
"NISIS 160 mg, comprimé pelliculé"
"NISIS 40 mg, comprimé pelliculé sécable"
"NISIS 80 mg, comprimé pelliculé"
"NISISCO 160 mg/12,5 mg, comprimé pelliculé"
"NISISCO 160 mg/25 mg, comprimé pelliculé"
"NISISCO 80 mg/12,5 mg, comprimé pelliculé"
"NITISINONE DIPHARMA 10 mg, gélule"
"NITISINONE DIPHARMA 2 mg, gélule"
"NITISINONE DIPHARMA 20 mg, gélule"
"NITISINONE DIPHARMA 5 mg, gélule"
"NITISINONE MDK 10 mg, gélule"
"NITISINONE MDK 2 mg, gélule"
"NITISINONE MDK 5 mg, gélule"
"NITRATE DARGENT COOPER 63,3 %, bâton pour application cutanée"
"NITRENDIPINE 10 mg, comprimé"
"NITRENDIPINE 20 mg, comprimé sécable"
"NITRIDERM TTS 10 mg/24 h, dispositif transdermique"
"NITRIDERM TTS 15 mg/24 h, dispositif transdermique"
"NITRIDERM TTS 5 mg/24 h, dispositif transdermique"
"NITRONAL 1 mg/ml, solution pour perfusion"
"NIVAQUINE 100 mg, comprimé sécable"
"NIVAQUINE 25 mg/5 ml, sirop"
"NIVESTIM 12 MU/0,2 ml, solution injectable/pour perfusion"
"NIVESTIM 30 MU/0,5 ml, solution injectable/pour perfusion"
"NIVESTIM 48 MU/0,5 ml, solution injectable/pour perfusion"
"NOCERTONE 60 mg, comprimé pelliculé sécable"
"NODEX ADULTES, sirop en récipient unidose"
"NOLVADEX 10 mg, comprimé pelliculé"
"NOLVADEX 20 mg, comprimé enrobé"
NOMANESIT 85 mg/500 mg comprimé pelliculé
"NOMEGESTROL 5 mg, comprimé sécable"
"NOMEGESTROL ACETATE/ESTRADIOL 2,5 mg/1,5 mg, comprimé pelliculé"
"NOOTROPYL 20 %, solution buvable"
"NOOTROPYL 3 g/15 ml, solution injectable en ampoule"
"NOOTROPYL 800 mg, comprimé pelliculé"
"NORADRENALINE (TARTRATE) AGUETTANT 2 mg/ml (SANS SULFITES), solution à diluer pour perfusion"
"NORADRENALINE (TARTRATE) RENAUDIN 0,5 mg/mL, solution pour perfusion"
"NORADRENALINE 2 mg/ml SANS SULFITES, solution à diluer pour perfusion"
"NORADRENALINE RENAUDIN 2 mg/mL SANS CONSERVATEUR, solution à diluer pour perfusion"
"NORADRENALINE TARTRATE KALCEKS 2 mg/mL, solution à diluer pour perfusion"
"NORCHOLESTEROL IODE [131I] CIS BIO INTERNATIONAL 7,5 à 15 MBq/mL solution injectable [Référence: NORCHOL-131]"
"NORDAZ 15 mg, comprimé quadrisécable"
"NORDAZ 7,5 mg, comprimé sécable"
"NORDIMET 10 mg, solution injectable en stylo prérempli"
"NORDIMET 12,5 mg, solution injectable en stylo prérempli"
"NORDIMET 15 mg, solution injectable en stylo prérempli"
"NORDIMET 17,5 mg, solution injectable en stylo prérempli"
"NORDIMET 20 mg, solution injectable en stylo prérempli"
"NORDIMET 22,5 mg, solution injectable en stylo prérempli"
"NORDIMET 25 mg, solution injectable en stylo prérempli"
"NORDIMET 7,5 mg, solution injectable en stylo prérempli"
"NORDITROPINE FLEXPRO 10 mg/1,5 ml, solution injectable en stylo prérempli"
"NORDITROPINE FLEXPRO 15 mg/1,5 ml, solution injectable en stylo prérempli"
"NORDITROPINE FLEXPRO 5 mg/1,5 ml, solution injectable en stylo prérempli"
"NORDITROPINE SIMPLEXX 10 mg/1,5 ml, solution injectable en cartouche"
"NORDITROPINE SIMPLEXX 15 mg/1,5 ml, solution injectable en cartouche"
"NORDITROPINE SIMPLEXX 5 mg/1,5 ml, solution injectable en cartouche"
"NORFLOXACINE 400 mg, comprimé pelliculé"
"NORGALAX, gel rectal en récipient unidose"
"NORLEVO 1,5 mg, comprimé"
"NORMACOL LAVEMENT ADULTES, solution rectale, récipient unidose"
"NORMACOL LAVEMENT ENFANTS, solution rectale, récipient unidose"
"NORMAFIBE 62 g/100 g, granulés enrobés en sachet"
"NORMAFIBE 62 g/100 g, granulés enrobés en vrac"
"NORMOSANG 25 mg/ml, solution à diluer pour perfusion"
"NORPROLAC 150 microgrammes, comprimé"
"NORPROLAC 25 et 50 microgrammes, comprimé"
"NORPROLAC 75 microgrammes, comprimé"
"NORSET 15 mg, comprimé pelliculé"
"NORVIR 100 mg, comprimé pelliculé"
"NORVIR 100 mg, poudre pour suspension buvable"
"NOTEZINE 100 mg, comprimé sécable"
"NOVANTRONE 10 mg/5 ml, solution à diluer pour perfusion"
"NOVANTRONE 20 mg/10 ml, solution à diluer pour perfusion"
"NOVATREX 2,5 mg, comprimé"
"NOVOEIGHT 1000 UI, poudre et solvant pour solution injectable"
"NOVOEIGHT 1500 UI, poudre et solvant pour solution injectable"
"NOVOEIGHT 2000 UI, poudre et solvant pour solution injectable"
"NOVOEIGHT 250 UI, poudre et solvant pour solution injectable"
"NOVOEIGHT 3000 UI, poudre et solvant pour solution injectable"
"NOVOEIGHT 500 UI, poudre et solvant pour solution injectable"
"NOVOFEMME, comprimé pelliculé"
"NOVOMIX 30 FLEXPEN 100 Unités/ml, suspension injectable en stylo prérempli"
"NOVOMIX 30 PENFILL 100 Unités/ml, suspension injectable en cartouche"
"NOVOMIX 50 FLEXPEN 100 Unités/ml, suspension injectable en stylo prérempli"
"NOVOMIX 70 FLEXPEN 100 Unités/ml, suspension injectable en stylo prérempli"
"NOVONORM 0,5 mg, comprimé"
"NOVONORM 1 mg, comprimé"
"NOVONORM 2 mg, comprimé"
"NOVOPTINE 0,1 mg/0,4 ml, collyre en récipient unidose"
"NOVOPTINE 2,5 mg/10 ml, collyre en flacon"
"NOVOPULMON NOVOLIZER 200 microgrammes/dose, poudre pour inhalation"
"NOVOPULMON NOVOLIZER 400 microgrammes/dose, poudre pour inhalation"
"NOVORAPID 100 unités/ml, solution injectable"
"NOVORAPID FLEXPEN 100 unités/ml, solution injectable en stylo prérempli"
"NOVORAPID PENFILL 100 unités/ml, solution injectable en cartouche"
"NOVORAPID PUMPCART 100 unités/ml, solution injectable en cartouche"
"NOVOSEVEN 1 mg (50 KUI), poudre et solvant pour solution injectable"
"NOVOSEVEN 2 mg (100 KUI), poudre et solvant pour solution injectable"
"NOVOSEVEN 5 mg (250 KUI), poudre et solvant pour solution injectable"
"NOVOSEVEN 8 mg (400 KUI), poudre et solvant pour solution injectable"
"NOXAFIL 100 mg, comprimé gastro-résistant"
"NOXAFIL 300 mg, solution à diluer pour perfusion"
"NOXAFIL 40 mg/mL, suspension buvable"
"NOXAP 200 ppm mole/mole, gaz médicinal comprimé"
"NOXAP 800 ppm mole/mole, gaz médicinal comprimé"
"NOXIBEN 1 mg, comprimé pelliculé"
"NOXIBEN 2 mg, comprimé pelliculé"
"NOXIBEN 3 mg, comprimé pelliculé"
"NOYADA 25 mg/5 ml, solution buvable"
"NOYADA 5 mg/5ml, solution buvable"
"NOZINAN 100 mg, comprimé pelliculé sécable"
"NOZINAN 25 mg, comprimé pelliculé sécable"
"NOZINAN 25 mg/ml, solution injectable en ampoule (I.M.)"
"NOZINAN 40 mg/ml, solution buvable"
"NP100 PREMATURES AP-HP, solution pour perfusion"
"NPLATE 125 microgrammes, poudre pour solution injectable"
"NPLATE 250 microgrammes, poudre et solvant pour solution injectable"
"NPLATE 500 microgrammes, poudre et solvant pour solution injectable"
"NUBEQA 300 mg, comprimé pelliculé"
"NUCALA 100 mg, poudre pour solution injectable"
"NUCALA 100 mg, solution injectable en seringue préremplie"
"NUCALA 100 mg, solution injectable en stylo prérempli"
"NUCALA 40 mg, solution injectable en seringue préremplie"
"NUCEIVA 50 unités, poudre pour solution injectable"
"NUCTALON 2 mg, comprimé"
"NULOJIX 250 mg, poudre pour solution à diluer pour perfusion"
"NUMETAH G13% E PREMATURES, émulsion pour perfusion"
"NUMETAH G16%E, émulsion pour perfusion"
"NUMETAH G19%E, émulsion pour perfusion"
"NUREFLEX 400 mg, comprimé enrobé"
"NUROFEN 200 mg, comprimé enrobé"
"NUROFEN 200 mg, comprimé orodispersible"
"NUROFEN 400 mg, comprimé enrobé"
"NUROFEN RHUME, comprimé pelliculé"
"NUROFENCAPS 400 mg, capsule molle"
"NUROFENFEM 400 mg, comprimé pelliculé"
"NUROFENFLASH 200 mg, comprimé pelliculé"
"NUROFENFLASH 400 mg, comprimé pelliculé"
"NUROFENPLAST 200 mg, emplâtre médicamenteux"
"NUROFENPRO 20 mg/ml ENFANTS ET NOURRISSONS SANS SUCRE, suspension buvable édulcorée au maltitol liquide et à la saccharine sodique"
"NUROFENTABS 200 mg, comprimé orodispersible"
"NUTRINEAL PD4 A 1,1 % D'ACIDES AMINES, solution pour dialyse péritonéale"
"NUTRIVISC 5 POUR CENT (20 mg/0,4 ml), collyre en solution en récipient unidose"
"NUTRIVISC 5 POUR CENT, collyre en solution"
"NUTROPINAQ 10 mg/2 ml (30 UI), solution injectable"
"NUTRYELT, solution à diluer pour perfusion"
"NUVARING 15 microgrammes/120 microgrammes/24 heures, système de diffusion vaginal"
"NUVAXOVID XBB.1.5, dispersion injectable. Vaccin contre la COVID-19 (recombinant, avec adjuvant)"
"NUVAXOVID, dispersion injectable. Vaccin contre la COVID-19 (recombinant, avec adjuvant)"
"NUWIQ 1000 UI, poudre et solvant pour solution injectable"
"NUWIQ 1500 UI, poudre et solvant pour solution injectable"
"NUWIQ 2000 UI, poudre et solvant pour solution injectable"
"NUWIQ 250 UI, poudre et solvant pour solution injectable"
"NUWIQ 2500 UI, poudre et solvant pour solution injectable"
"NUWIQ 3000 UI, poudre et solvant pour solution injectable"
"NUWIQ 4000 UI, poudre et solvant pour solution injectable"
"NUWIQ 500 UI, poudre et solvant pour solution injectable"
"NYVEPRIA 6 mg, solution injectable"
"NYXOID 1,8 mg, solution pour pulvérisation nasale en récipient unidose"
"NaF MetaTrace 2 000 MBq/mL, solution injectable"
"OBIZUR 500 U, poudre et solvant pour solution injectable"
"OCALIVA 10 mg, comprimé"
"OCALIVA 5 mg, comprimé"
"OCREVUS 300 mg, solution à diluer pour perfusion"
"OCTAFIX 100 UI/ml, poudre et solvant pour solution injectable"
"OCTAGAM 100 mg/ml, solution pour perfusion"
"OCTAGAM 50 mg/ml, solution pour perfusion"
"OCTANATE 100 UI/ml, poudre et solvant pour solution injectable"
"OCTANATE 50 UI/ml, poudre et solvant pour solution injectable"
"OCTANATE LV 100 UI/ml, poudre et solvant pour solution injectable"
"OCTANATE LV 200 UI/ml, poudre et solvant pour solution injectable"
"OCTAPLASLG, poudre et solvant pour solution pour perfusion"
"OCTAPLASLG, solution pour perfusion"
"OCTAPLEX 1000 UI, poudre et solvant pour solution pour perfusion"
"OCTAPLEX 500 UI, poudre et solvant pour solution pour perfusion"
"OCTIM 150 microgrammes/dose, solution pour pulvérisation nasale"
"OCTREOTIDE 100 microgrammes/1 mL, solution injectable/pour perfusion"
"OCTREOTIDE 50 microgrammes/1 mL, solution injectable/pour perfusion"
"OCTREOTIDE 500 microgrammes/1 mL, solution injectable/pour perfusion"
